x_value,total_1,total_2
"48
",6.270408630371094e-05,
"225
",0.00019860267639160156,
"188
",0.00030040740966796875,
"177
",0.00039768218994140625,
"170
",0.0004899501800537109,
"170
",0.0019521713256835938,
"173
",0.002062559127807617,
"168
",0.0021514892578125,
"164
",0.002239227294921875,
"175
",0.002321958541870117,
"190
",0.0024025440216064453,
"194
",0.0024843215942382812,
"193
",0.002571582794189453,
"198
",0.0026547908782958984,
"198
",0.002738475799560547,
"195
",0.002821207046508789,
"189
",0.0029048919677734375,
"196
",0.0029897689819335938,
"203
",0.0030753612518310547,
"205
",0.0031616687774658203,
"209
",0.0032472610473632812,
"225
",0.0033330917358398438,
"234
",0.0034186840057373047,
"237
",0.003505706787109375,
"246
",0.003589630126953125,
"259
",0.0036749839782714844,
"267
",0.006020784378051758,
"269
",0.013915777206420898,
"279
",0.01803445816040039,
"294
",0.0220792293548584,
"302
",0.030118942260742188,
"303
",0.03436636924743652,
"315
",0.038367509841918945,
"326
",0.04247236251831055,
"330
",0.05082416534423828,
"328
",0.05480551719665527,
"333
",0.05880546569824219,
"340
",0.06302213668823242,
"341
",0.07117795944213867,
"339
",0.07539248466491699,
"346
",0.07848978042602539,
"356
",0.08259773254394531,
"358
",0.09077048301696777,
"357
",0.09488964080810547,
"366
",0.09905743598937988,
"374
",0.1071467399597168,
"373
",0.11126065254211426,
"371
",0.11534905433654785,
"377
",0.11945915222167969,
"378
",0.1276683807373047,
"373
",0.13176679611206055,
"371
",0.1358492374420166,
"375
",0.13995742797851562,
"376
",0.14812922477722168,
"370
",0.15224003791809082,
"370
",0.1563558578491211,
"375
",0.16450142860412598,
"374
",0.1686246395111084,
"367
",0.17274022102355957,
"368
",0.17682528495788574,
"372
",0.1850297451019287,
"367
",0.18912792205810547,
"359
",0.19319915771484375,
"366
",0.19730234146118164,
"370
",0.2054750919342041,
"363
",0.20964503288269043,
"357
",0.21376395225524902,
"363
",0.22187018394470215,
"369
",0.22601699829101562,
"367
",0.23004937171936035,
"366
",0.23417115211486816,
"373
",0.24236011505126953,
"381
",0.24648499488830566,
"377
",0.25054073333740234,
"372
",0.2546520233154297,
"373
",0.26280760765075684,
"373
",0.2669501304626465,
"366
",0.271026611328125,
"362
",0.27514052391052246,
"364
",0.2833089828491211,
"363
",0.2874913215637207,
